,Combination,P2,P3,P4,P5,P6,P7,P8,P9
1981,pHSP12-OP_TATA_OP-UAS_BAB,4,7,2,3,10,0,0,0
1982,pHSP12-OP_TATA_OP-UAS_BAC,4529,4778,10068,5627,4078,4072,12,9
1983,pHSP12-OP_TATA_OP-UAS_BAD,588,506,808,825,756,613,0,0
1984,pHSP12-OP_TATA_OP-UAS_BAE,99,50,106,8,13,11,0,0
1985,pHSP12-OP_TATA_OP-UAS_BAF,1195,1358,3499,2116,583,1038,4,2
1986,pHSP12-OP_TATA_OP-UAS_BBA,419,334,1122,246,358,119,0,1
1987,pHSP12-OP_TATA_OP-UAS_BBB,0,5,1,3,0,0,0,0
1988,pHSP12-OP_TATA_OP-UAS_BBC,5364,5409,12277,10630,7979,8267,14,14
1989,pHSP12-OP_TATA_OP-UAS_BBD,2461,2511,5145,3813,1574,1803,4,2
1990,pHSP12-OP_TATA_OP-UAS_BBE,56,197,243,81,57,152,0,0
1991,pHSP12-OP_TATA_OP-UAS_BBF,1081,1435,3186,1611,1075,789,3,3
1992,pHSP12-OP_TATA_OP-UAS_BCA,146,226,525,117,382,47,0,0
1993,pHSP12-OP_TATA_OP-UAS_BCB,0,0,2,0,0,0,0,0
1994,pHSP12-OP_TATA_OP-UAS_BCC,1274,1551,2291,2175,1812,1198,2,0
1995,pHSP12-OP_TATA_OP-UAS_BCD,1015,1017,1764,1714,856,898,0,0
1996,pHSP12-OP_TATA_OP-UAS_BCE,279,246,314,214,43,278,0,0
1997,pHSP12-OP_TATA_OP-UAS_BCF,832,1075,1869,1718,1328,1182,2,1
1998,pHSP12-OP_TATA_OP-UAS_BDA,302,104,409,485,38,51,0,0
1999,pHSP12-OP_TATA_OP-UAS_BDB,0,0,1,4,0,0,0,0
2000,pHSP12-OP_TATA_OP-UAS_BDC,3131,2754,6766,6249,3498,2782,1,3
2001,pHSP12-OP_TATA_OP-UAS_BDD,1350,1096,2381,1748,851,316,0,0
2002,pHSP12-OP_TATA_OP-UAS_BDE,111,126,192,54,37,63,0,0
2003,pHSP12-OP_TATA_OP-UAS_BDF,89,82,111,152,19,8,0,0
2004,pHSP12-OP_TATA_OP-UAS_BEA,1002,845,2315,1905,955,1082,6,0
2005,pHSP12-OP_TATA_OP-UAS_BEB,1,0,0,5,4,2,0,0
