,Combination,P2,P3,P4,P5,P6,P7,P8,P9
3138,pEXG1-OP_TATA-UAS_DBA,5,5,36,22,67,89,309,293
3139,pEXG1-OP_TATA-UAS_DBB,0,0,0,0,0,0,0,0
3140,pEXG1-OP_TATA-UAS_DBC,149,44,165,292,279,920,4413,864
3141,pEXG1-OP_TATA-UAS_DBD,28,142,121,108,187,180,1573,1484
3142,pEXG1-OP_TATA-UAS_DBE,0,0,2,2,4,0,11,10
3143,pEXG1-OP_TATA-UAS_DBF,64,106,139,93,242,493,3057,1589
3144,pEXG1-OP_TATA-UAS_DCA,4,5,13,22,11,16,123,140
3145,pEXG1-OP_TATA-UAS_DCB,0,0,0,0,0,0,0,0
3146,pEXG1-OP_TATA-UAS_DCC,111,72,140,107,210,545,3136,668
3147,pEXG1-OP_TATA-UAS_DCD,4,5,1,3,26,15,96,91
3148,pEXG1-OP_TATA-UAS_DCE,0,1,6,4,10,12,313,87
3149,pEXG1-OP_TATA-UAS_DCF,8,10,56,16,35,105,570,620
3150,pEXG1-OP_TATA-UAS_DDA,2,2,16,2,10,23,172,242
3151,pEXG1-OP_TATA-UAS_DDB,0,0,0,0,0,0,0,0
3152,pEXG1-OP_TATA-UAS_DDC,73,59,141,112,118,671,3221,390
3153,pEXG1-OP_TATA-UAS_DDD,24,28,41,85,108,33,493,686
3154,pEXG1-OP_TATA-UAS_DDE,0,0,0,0,0,0,16,0
3155,pEXG1-OP_TATA-UAS_DDF,47,67,125,135,73,160,1553,1406
3156,pEXG1-OP_TATA-UAS_DEA,4,18,8,20,101,107,450,293
3157,pEXG1-OP_TATA-UAS_DEB,0,0,0,0,0,0,3,0
3158,pEXG1-OP_TATA-UAS_DEC,25,42,119,65,94,315,1948,559
3159,pEXG1-OP_TATA-UAS_DED,122,48,102,87,192,198,1207,1263
3160,pEXG1-OP_TATA-UAS_DEE,0,6,0,0,2,4,40,32
3161,pEXG1-OP_TATA-UAS_DEF,18,3,42,50,55,47,479,315
3162,pEXG1-OP_TATA-UAS_DFA,3,11,72,20,41,83,666,457
3163,pEXG1-OP_TATA-UAS_DFB,0,0,1,0,2,0,3,0
3164,pEXG1-OP_TATA-UAS_DFC,69,34,146,97,229,701,2809,559
3165,pEXG1-OP_TATA-UAS_DFD,16,43,82,78,92,203,1348,972
3166,pEXG1-OP_TATA-UAS_DFE,0,0,1,0,0,3,7,4
3167,pEXG1-OP_TATA-UAS_DFF,22,40,103,70,109,262,1462,898
3168,pEXG1-OP_TATA-UAS_EAA,0,0,0,5,6,7,6,9
3169,pEXG1-OP_TATA-UAS_EAB,0,0,0,0,1,0,10,0
3170,pEXG1-OP_TATA-UAS_EAC,163,104,256,216,378,2042,6897,1240
3171,pEXG1-OP_TATA-UAS_EAD,15,60,38,89,170,227,946,1232
3172,pEXG1-OP_TATA-UAS_EAE,21,14,34,42,24,166,862,438
3173,pEXG1-OP_TATA-UAS_EAF,67,91,187,205,246,705,3475,1643
3174,pEXG1-OP_TATA-UAS_EBA,5,13,36,12,31,81,510,198
3175,pEXG1-OP_TATA-UAS_EBB,0,0,0,0,1,0,5,2
3176,pEXG1-OP_TATA-UAS_EBC,81,118,256,461,366,2947,7210,1291
3177,pEXG1-OP_TATA-UAS_EBD,84,41,168,115,119,183,2491,1246
3178,pEXG1-OP_TATA-UAS_EBE,1,1,3,3,7,21,30,11
3179,pEXG1-OP_TATA-UAS_EBF,36,48,156,84,156,347,2751,809
3180,pEXG1-OP_TATA-UAS_ECA,2,11,43,18,20,53,264,146
3181,pEXG1-OP_TATA-UAS_ECB,0,2,8,19,5,14,15,28
3182,pEXG1-OP_TATA-UAS_ECC,51,42,70,71,138,445,1855,493
3183,pEXG1-OP_TATA-UAS_ECD,7,10,14,40,48,53,430,259
3184,pEXG1-OP_TATA-UAS_ECE,0,1,0,0,2,18,158,11
3185,pEXG1-OP_TATA-UAS_ECF,5,11,24,16,10,63,157,234
3186,pEXG1-OP_TATA-UAS_EDA,1,11,9,4,6,27,100,102
3187,pEXG1-OP_TATA-UAS_EDB,0,0,0,0,0,1,12,1
3188,pEXG1-OP_TATA-UAS_EDC,215,80,245,129,295,1172,3701,623
3189,pEXG1-OP_TATA-UAS_EDD,37,43,71,51,106,70,942,784
3190,pEXG1-OP_TATA-UAS_EDE,0,2,8,2,2,1,30,8
3191,pEXG1-OP_TATA-UAS_EDF,369,465,874,928,1429,2197,13413,11276
3192,pEXG1-OP_TATA-UAS_EEA,0,1,0,0,0,8,11,3
3193,pEXG1-OP_TATA-UAS_EEB,0,0,0,0,0,0,0,7
3194,pEXG1-OP_TATA-UAS_EEC,16,54,47,55,86,228,1523,518
3195,pEXG1-OP_TATA-UAS_EED,30,12,16,41,35,49,390,429
3196,pEXG1-OP_TATA-UAS_EEE,1,0,4,7,8,16,125,89
3197,pEXG1-OP_TATA-UAS_EEF,19,39,52,60,114,203,1288,1223
3198,pEXG1-OP_TATA-UAS_EFA,9,6,12,3,13,39,418,160
3199,pEXG1-OP_TATA-UAS_EFB,0,1,0,0,1,1,0,0
3200,pEXG1-OP_TATA-UAS_EFC,6,8,42,147,66,392,1379,241
3201,pEXG1-OP_TATA-UAS_EFD,6,5,22,10,27,55,401,211
3202,pEXG1-OP_TATA-UAS_EFE,0,1,2,2,1,5,87,30
3203,pEXG1-OP_TATA-UAS_EFF,2,17,10,4,49,55,387,183
3204,pEXG1-OP_TATA-UAS_FAA,0,2,50,11,9,76,251,50
3205,pEXG1-OP_TATA-UAS_FAB,0,0,2,0,0,3,0,0
3206,pEXG1-OP_TATA-UAS_FAC,74,69,295,132,215,4807,4462,319
3207,pEXG1-OP_TATA-UAS_FAD,43,37,29,34,51,178,1084,441
3208,pEXG1-OP_TATA-UAS_FAE,3,0,0,1,4,14,82,24
3209,pEXG1-OP_TATA-UAS_FAF,31,65,113,68,206,1316,5053,821
3210,pEXG1-OP_TATA-UAS_FBA,6,3,33,4,22,40,270,205
3211,pEXG1-OP_TATA-UAS_FBB,0,1,0,0,0,0,5,0
3212,pEXG1-OP_TATA-UAS_FBC,96,504,1673,341,411,1329,5167,1362
3213,pEXG1-OP_TATA-UAS_FBD,24,15,48,53,155,116,733,799
3214,pEXG1-OP_TATA-UAS_FBE,1,3,0,2,4,1,17,10
3215,pEXG1-OP_TATA-UAS_FBF,106,83,271,227,275,521,2960,1797
3216,pEXG1-OP_TATA-UAS_FCA,3,0,0,0,1,5,6,8
3217,pEXG1-OP_TATA-UAS_FCB,0,0,0,0,0,0,1,3
3218,pEXG1-OP_TATA-UAS_FCC,36,33,48,95,95,333,1844,422
3219,pEXG1-OP_TATA-UAS_FCD,80,2,1,4,4,16,101,68
3220,pEXG1-OP_TATA-UAS_FCE,17,0,0,0,16,9,53,7
3221,pEXG1-OP_TATA-UAS_FCF,32,11,11,26,48,107,810,598
3222,pEXG1-OP_TATA-UAS_FDA,0,0,0,0,4,3,17,5
3223,pEXG1-OP_TATA-UAS_FDB,0,0,1,0,0,0,3,0
3224,pEXG1-OP_TATA-UAS_FDC,17,31,45,10,86,787,681,95
3225,pEXG1-OP_TATA-UAS_FDD,49,17,39,25,45,63,572,354
3226,pEXG1-OP_TATA-UAS_FDE,1,0,0,0,0,0,2,0
3227,pEXG1-OP_TATA-UAS_FDF,11,16,39,84,55,289,1214,681
3228,pEXG1-OP_TATA-UAS_FEA,2,2,37,17,19,87,275,80
3229,pEXG1-OP_TATA-UAS_FEB,0,0,0,0,0,0,6,0
3230,pEXG1-OP_TATA-UAS_FEC,80,24,37,101,119,521,1483,309
3231,pEXG1-OP_TATA-UAS_FED,18,20,28,40,79,74,679,479
3232,pEXG1-OP_TATA-UAS_FEE,1,0,0,0,0,0,8,3
3233,pEXG1-OP_TATA-UAS_FEF,14,11,38,89,93,297,1627,519
3234,pEXG1-OP_TATA-UAS_FFA,0,0,1,0,6,2,4,0
3235,pEXG1-OP_TATA-UAS_FFB,0,0,0,0,0,1,9,1
3236,pEXG1-OP_TATA-UAS_FFC,16,11,6,11,63,366,640,48
3237,pEXG1-OP_TATA-UAS_FFD,1,10,4,52,28,34,354,144
3238,pEXG1-OP_TATA-UAS_FFE,2,3,3,15,10,14,160,58
3239,pEXG1-OP_TATA-UAS_FFF,57,53,75,128,115,278,1657,480
3240,pEXG1-N30_OP-UAS_AAA,0,0,0,0,0,0,0,0
3241,pEXG1-N30_OP-UAS_AAB,0,0,1,3,3,0,0,0
3242,pEXG1-N30_OP-UAS_AAC,36,1285,1165,86,48,15,9,7
3243,pEXG1-N30_OP-UAS_AAD,1,3,30,174,63,11,3,0
3244,pEXG1-N30_OP-UAS_AAE,2,4,1,88,20,4,0,0
3245,pEXG1-N30_OP-UAS_AAF,24,41,1283,1205,167,21,20,3
3246,pEXG1-N30_OP-UAS_ABA,11,2,102,563,123,18,16,4
3247,pEXG1-N30_OP-UAS_ABB,0,0,0,2,0,0,0,0
3248,pEXG1-N30_OP-UAS_ABC,179,2163,8638,595,173,73,43,24
3249,pEXG1-N30_OP-UAS_ABD,19,54,195,2159,1752,92,46,4
3250,pEXG1-N30_OP-UAS_ABE,1,15,28,130,46,2,1,0
3251,pEXG1-N30_OP-UAS_ABF,31,44,238,1928,1030,214,31,11
3252,pEXG1-N30_OP-UAS_ACA,5,28,305,304,43,9,9,1
3253,pEXG1-N30_OP-UAS_ACB,0,0,1,0,0,0,0,0
3254,pEXG1-N30_OP-UAS_ACC,84,1559,7299,558,153,96,49,26
3255,pEXG1-N30_OP-UAS_ACD,15,26,1195,1460,138,24,5,11
3256,pEXG1-N30_OP-UAS_ACE,0,13,28,8,3,0,0,0
3257,pEXG1-N30_OP-UAS_ACF,59,82,228,3761,2265,237,39,7
3258,pEXG1-N30_OP-UAS_ADA,0,12,69,334,74,2,2,1
3259,pEXG1-N30_OP-UAS_ADB,0,0,0,0,0,0,0,0
3260,pEXG1-N30_OP-UAS_ADC,107,2839,4258,475,114,55,46,18
3261,pEXG1-N30_OP-UAS_ADD,30,35,168,1219,801,36,6,5
3262,pEXG1-N30_OP-UAS_ADE,0,5,34,197,68,0,1,3
