Combination,Q2_0A,Q2_1A,Q2_2A,Q2_3A,Q2_5A,Q2_8A,Q2_0B,Q2_1B,Q2_2B,Q2_3B,Q2_5B,Q2_8B,TR_Pro,Core_pro_design,1st_UAS,2nd_UAS,3rd_UAS,miu_Lib_0A,reads_sum_0A,miu_Lib_0B,reads_sum_0B,miu_Lib_1A,reads_sum_1A,miu_Lib_1B,reads_sum_1B,miu_Lib_2A,reads_sum_2A,miu_Lib_2B,reads_sum_2B,miu_Lib_3A,reads_sum_3A,miu_Lib_3B,reads_sum_3B,miu_Lib_5A,reads_sum_5A,miu_Lib_5B,reads_sum_5B,miu_Lib_8A,reads_sum_8A,miu_Lib_8B,reads_sum_8B,miu_Lib_0,miu_Lib_1,miu_Lib_2,miu_Lib_3,miu_Lib_5,miu_Lib_8
pULI1-N30_OP-UAS_AFD,1859,1826,3639,2900,1102,1805,1616,796,2415,1858,1298,1628,pULI1,N30_OP,A,F,D,0.25503901223293174,59102,0.23461159762608239,57842,0.3378189329138753,57908,0.326069036414617,63962,0.3936223676542536,43333,0.401112051145922,39474,0.4104525751330691,44991,0.39431887930610554,50133,0.40596296334142606,33034,0.38756715083868176,37811,0.4454711235243858,24680,0.4162688398909447,36761,0.24482530492950705,0.33194398466424613,0.39736720940008785,0.4023857272195873,0.39676505709005394,0.4308699817076652
pULI1-N30_OP-UAS_AFF,1170,1516,1719,1137,363,738,696,163,1913,1561,547,909,pULI1,N30_OP,A,F,F,0.32235127626326165,38494,0.30084658006527737,33581,0.3964696393483096,40479,0.3948020281830354,36414,0.43687045977709776,31495,0.4356042888197296,23803,0.4354173833713098,27935,0.4319646820336993,31959,0.4485949956933146,22580,0.4266317554382158,25454,0.45776244822865403,14837,0.44703805822845283,22669,0.3115989281642695,0.39563583376567246,0.4362373742984137,0.43369103270250453,0.4376133755657652,0.45240025322855343
pULI1-N30_OP-UAS_BAA,124,86,260,50,22,25,184,31,28,35,7,23,pULI1,N30_OP,B,A,A,0.29814826411982126,14635,0.3017084031580138,16146,0.3938760222663779,13356,0.36419193742104494,16322,0.414751380225719,9144,0.4057264758761348,10140,0.41814861539469544,12028,0.40581465393124644,11132,0.4295861411267982,8735,0.43182080423471886,10221,0.44463888861579914,5950,0.43804801940424415,7654,0.2999283336389175,0.37903397984371145,0.4102389280509269,0.41198163466297094,0.43070347268075854,0.4413434540100216
pULI1-N30_OP-UAS_BAB,14,8,1,12,3,8,5,0,14,0,1,5,pULI1,N30_OP,B,A,B,0.5595151600744334,454,0.43901888534017214,598,0.6145108966329907,505,0.5665998439839227,539,0.581154341112713,265,0.6127156234288118,213,0.6527813229007102,270,0.63047379607057,260,0.6374496057729266,207,0.6256497018180548,298,0.5691959508190547,131,0.49642704552001143,264,0.4992670227073027,0.5905553703084567,0.5969349822707624,0.6416275594856401,0.6315496537954908,0.5328114981695331
pULI1-N30_OP-UAS_BAC,13998,10057,20234,18727,6143,8185,10629,4947,12780,7183,6441,7413,pULI1,N30_OP,B,A,C,0.6580658827751549,907723,0.5855703209887579,939589,0.700058780458546,964425,0.7066409234418185,995572,0.7290436640167957,577397,0.7209015085570012,494337,0.7427950424940429,536011,0.6901638857491637,552494,0.7453838283699413,409492,0.715993945477005,518568,0.7448196891942169,346744,0.7373464253991701,526530,0.6218181018819564,0.7033498519501822,0.7249725862868984,0.7164794641216032,0.7306888869234731,0.7410830572966935
pULI1-N30_OP-UAS_BAD,241,138,225,70,59,68,60,11,53,211,13,33,pULI1,N30_OP,B,A,D,0.21465330543481387,5002,0.23392805752321108,5020,0.2566613186074717,4899,0.25018784582946774,4940,0.3171988918442558,3083,0.2911091394062947,2727,0.29266510935617773,3598,0.29464789224819377,2808,0.3549383041617627,2584,0.3076584600563825,3212,0.3935513585945657,2048,0.3099614142469552,2611,0.2242906814790125,0.25342458221846975,0.3041540156252752,0.29365650080218575,0.3312983821090726,0.35175638642076046
pULI1-N30_OP-UAS_BAE,416,348,596,175,126,190,390,254,238,412,266,204,pULI1,N30_OP,B,A,E,0.1496093895989125,11213,0.1365068430087993,10808,0.17281441436929265,12107,0.16239632018300246,14642,0.18476315681300776,9098,0.16483227741966527,7255,0.17912895599380524,9367,0.17404187333669907,10638,0.18921752707987807,7420,0.20698383690616562,7732,0.20595468100276418,6397,0.19967891530398435,6406,0.1430581163038559,0.16760536727614755,0.17479771711633652,0.17658541466525216,0.19810068199302183,0.20281679815337428
pULI1-N30_OP-UAS_BAF,2186,2145,3299,2159,568,954,2115,700,2122,1087,719,1002,pULI1,N30_OP,B,A,F,0.41300337310433427,111611,0.3693916080353682,103352,0.44017422554270913,99045,0.4423010534057173,102024,0.4662740305212208,74390,0.46225494556197844,63954,0.4687042670329474,80141,0.45235889552537206,82440,0.4757625092469112,60025,0.4589165948668162,71133,0.49235635072440503,42949,0.47818697493842854,61464,0.3911974905698512,0.44123763947421324,0.4642644880415996,0.4605315812791597,0.4673395520568637,0.48527166283141676
pULI1-N30_OP-UAS_BBA,192,197,354,66,51,16,200,1,105,59,65,99,pULI1,N30_OP,B,B,A,0.37640337775264243,14728,0.33870468684496835,11473,0.43277822157303064,12252,0.38001624760274555,10527,0.46144592631061465,9775,0.46449941376332743,8909,0.4478303587903133,9042,0.4042892923606316,11622,0.46015715683814845,8638,0.36968562449935394,8131,0.47003043150736407,5491,0.4753792805704361,7542,0.3575540322988054,0.4063972345878881,0.46297267003697107,0.42605982557547245,0.4149213906687512,0.4727048560389001
pULI1-N30_OP-UAS_BBC,7354,6688,13513,12040,4616,3979,6133,2496,12437,5844,4817,7311,pULI1,N30_OP,B,B,C,0.6431663153728685,615329,0.5756533548619979,552639,0.6855439500935647,710954,0.6855847461922692,692193,0.7249709819032408,431255,0.7174633663493714,352397,0.7223704059503765,392556,0.699119473417686,400914,0.7387703134974061,319869,0.7066019367127898,348832,0.7376968189414888,255598,0.7268855177024659,333089,0.6094098351174332,0.685564348142917,0.721217174126306,0.7107449396840313,0.722686125105098,0.7322911683219773
pULI1-N30_OP-UAS_BBD,2970,2586,4932,4997,1205,1902,2645,799,2515,1754,2139,720,pULI1,N30_OP,B,B,D,0.38876076784129265,120443,0.34628607922624466,99022,0.43241695308470646,122728,0.425261992371701,97895,0.463729572829239,86306,0.4566499256494342,69809,0.45705223216832,79585,0.4406144766102805,85192,0.45685309305574745,65093,0.4424045835852967,66640,0.4597725625871,40253,0.4517774148164259,58932,0.36752342353376866,0.4288394727282037,0.4601897492393366,0.4488333543893003,0.4496288383205221,0.4557749887017629
pULI1-N30_OP-UAS_BBE,146,484,401,278,44,264,74,10,92,95,96,159,pULI1,N30_OP,B,B,E,0.4134006252496408,8187,0.3474205288989672,8547,0.42013124501207466,10559,0.4358035485397072,11122,0.45566778766338,6746,0.45456551324110406,6159,0.4550547060858784,6253,0.44238184182333745,8680,0.4476664035363123,6221,0.4502622786433102,7020,0.46396121644037014,3274,0.46461297711751337,5900,0.380410577074304,0.4279673967758909,0.45511665045224203,0.44871827395460795,0.44896434108981126,0.46428709677894175
pULI1-N30_OP-UAS_BBF,1228,1613,2545,1560,491,1002,1639,104,2386,1254,609,1182,pULI1,N30_OP,B,B,F,0.3997671850557824,67958,0.36058190565893133,64850,0.43198576065582067,78836,0.42781535402078136,69987,0.45612812038000267,52378,0.45984961943342906,47660,0.465097096749062,51724,0.44062639131253073,67309,0.4558249831569538,45437,0.44617331526947207,48593,0.47384903660495553,23039,0.45825424379001495,40947,0.38017454535735684,0.429900557338301,0.45798886990671583,0.4528617440307964,0.45099914921321294,0.46605164019748524
pULI1-N30_OP-UAS_BCA,23,23,16,22,10,36,8,5,10,6,3,7,pULI1,N30_OP,B,C,A,0.1965712505197722,268,0.1746844836547132,243,0.21880360583020145,201,0.16905795072621776,259,0.32889289144152906,125,0.22280865200378575,131,0.3314422833884899,208,0.31436418144346434,196,0.2671578649622618,162,0.3031380546840778,189,0.28028968547466865,124,0.35040363695874044,154,0.18562786708724272,0.1939307782782096,0.2758507717226574,0.3229032324159771,0.28514795982316976,0.3153466612167045
pULI1-N30_OP-UAS_BCC,3639,3818,5685,5157,3225,3190,2452,1819,4640,3086,1802,3920,pULI1,N30_OP,B,C,C,0.47398688329923316,101851,0.42232827420482133,89144,0.5481658345833315,128518,0.5394755086323682,122002,0.6176758268791191,103459,0.6057916397403934,90633,0.6186263955643558,99947,0.6018799825243383,108280,0.6592307871180039,83634,0.6179710582847192,88640,0.6486803036562953,67102,0.6360567454194478,89368,0.4481575787520272,0.5438206716078497,0.6117337333097563,0.610253189044347,0.6386009227013616,0.6423685245378715
pULI1-N30_OP-UAS_BCD,649,417,740,321,200,260,349,180,420,264,167,374,pULI1,N30_OP,B,C,D,0.17987078482956867,9316,0.1413159579258374,8512,0.19653789529682475,9422,0.18644723588009163,10580,0.2350413604832663,7226,0.18998318582619814,6941,0.23134706117047732,8138,0.17924280949889732,7406,0.2484408926075223,4903,0.2540771073636181,5427,0.29215557645104057,5254,0.27634601309196827,5370,0.16059337137770302,0.19149256558845817,0.2125122731547322,0.20529493533468732,0.2512589999855702,0.2842507947715044
pULI1-N30_OP-UAS_BCE,122,153,197,283,38,227,184,206,198,170,77,83,pULI1,N30_OP,B,C,E,0.26440813492881055,3695,0.22404125692935628,4123,0.32749455529251975,4939,0.32790635355115333,5630,0.4016881876582854,3486,0.38328801993475664,3132,0.3339831782510322,3639,0.22397294083173214,3912,0.393923287117585,2687,0.39885229763895236,3026,0.414194218619704,1939,0.3370032636294669,2908,0.2442246959290834,0.32770045442183654,0.392488103796521,0.27897805954138216,0.3963877923782687,0.37559874112458547
pULI1-N30_OP-UAS_BCF,1035,1187,2325,1889,1117,1322,968,586,1386,922,504,1305,pULI1,N30_OP,B,C,F,0.09104124332889642,26174,0.08353466010700836,23904,0.11588679354242029,28236,0.11358702293424187,32430,0.1447891803361364,21851,0.14257439506898906,18800,0.144526982465433,23808,0.13206915697804142,22147,0.14830966878002116,18259,0.12409687971682502,16808,0.16875601586403632,15503,0.15195134773275204,18586,0.0872879517179524,0.11473690823833108,0.14368178770256274,0.1382980697217372,0.1362032742484231,0.16035368179839418
pULI1-N30_OP-UAS_BDA,440,388,1334,319,73,156,392,178,291,227,170,112,pULI1,N30_OP,B,D,A,0.41779469751475473,17783,0.3590772655497478,14168,0.4553923505972516,14204,0.4486092038721114,15224,0.46227128026082376,11764,0.47215340253297156,9308,0.4777741766115956,11224,0.44315427407414043,10838,0.4901249538572397,9275,0.48446627596243647,10880,0.459593775251555,7010,0.500303218744925,11016,0.38843598153225123,0.45200077723468146,0.46721234139689766,0.460464225342868,0.4872956149098381,0.47994849699824
pULI1-N30_OP-UAS_BDC,6678,5591,9630,9816,3343,5156,4321,3316,6745,4580,4278,2380,pULI1,N30_OP,B,D,C,0.6664803431479652,415931,0.6023170003340713,415408,0.7008666442114184,430867,0.6985628534424435,438602,0.7285271441794923,268695,0.7239110785974903,218314,0.7266237952877448,245492,0.6843621581537218,244399,0.7283484183265402,192111,0.6956935933984796,225438,0.7393064956599118,151576,0.7281416728889615,235808,0.6343986717410183,0.699714748826931,0.7262191113884913,0.7054929767207333,0.7120210058625098,0.7337240842744366
pULI1-N30_OP-UAS_BDD,2233,2153,3502,2411,1511,713,1333,433,2076,1439,1338,231,pULI1,N30_OP,B,D,D,0.38587513510511073,67189,0.36418607963094124,57485,0.442922202301046,63544,0.43415497657337637,57488,0.4563641492018363,47822,0.4557439089093562,38052,0.4604477621092503,43586,0.4478706983083423,47481,0.45745803710706545,36053,0.4468583621604091,37736,0.462959426614157,23801,0.46476777562867366,37657,0.37503060736802596,0.4385385894372112,0.4560540290555962,0.45415923020879634,0.45215819963373727,0.46386360112141534
